detector_id	detector_name	plane	n_elements	spacing	xoffset	x0	y0	z0	angle_from_vert	elementPos_1	elementPos_2	elementPos_last
1	D0U	2	201	0.635	0.159	1.016	2.672	646.791	0.244974	-61.707103308810694	-61.072103308810696	65.29289669118931
2	D0Up	2	201	0.635	-0.159	1.016	2.672	647.426	0.244974	-62.02510330881069	-61.390103308810694	64.97489669118931
4	D0Xp	1	160	0.635	-0.159	0.884	2.771	624.408	0.0	-49.757749393579864	-49.122749393579866	51.20725060642014
3	D0X	1	160	0.635	0.159	0.884	2.771	625.043	0.0	-49.439749393579866	-48.80474939357987	51.52525060642014
5	D0V	3	201	0.635	0.159	0.635	2.982	600.71	-0.244974	-63.43929806671901	-62.804298066719014	63.56070193328099
6	D0Vp	3	201	0.635	-0.159	0.635	2.982	601.345	-0.244974	-63.75729806671901	-63.12229806671901	63.24270193328099
34	H1R	4	20	7.0025	0.0	-37.973	0.104	663.415	1.5708	-66.44581190983088	-59.443311909830875	66.60168809016913
33	H1L	4	20	7.0025	0.0	40.767	0.104	663.415	1.5708	-66.39177054224336	-59.38927054224336	66.65572945775665
31	H1B	1	23	7.0025	0.0	0.693	-37.032	676.587	0.0	-76.31365109493117	-69.31115109493118	77.74134890506883
32	H1T	1	23	7.0025	0.0	0.693	37.009	676.587	0.0	-76.35533617572904	-69.35283617572904	77.69966382427097
7	D1V	3	384	0.5	0.0	0.349	-0.173	688.614	-0.244974	-95.36961822560073	-94.86961822560073	96.13038177439927
8	D1Vp	3	384	0.5	-0.25	0.349	-0.173	689.214	-0.244974	-95.61961822560073	-95.11961822560073	95.88038177439927
9	D1X	1	320	0.5	0.0	0.349	-0.173	689.814	0.0	-79.40132412002032	-78.90132412002032	80.09867587997968
10	D1Xp	1	320	0.5	-0.25	0.349	-0.173	690.414	0.0	-79.65132412002032	-79.15132412002032	79.84867587997968
11	D1U	2	384	0.5	0.0	0.349	-0.173	691.014	0.244974	-95.45385040583193	-94.95385040583193	96.04614959416807
12	D1Up	2	384	0.5	-0.25	0.349	-0.173	691.614	0.244974	-95.70385040583193	-95.20385040583193	95.79614959416807
13	D2V	3	128	2.021	-0.505	-2.443	-0.549	1315.829	-0.244974	-131.07422307811524	-129.05322307811525	125.59277692188473
14	D2Vp	3	128	2.021	0.505	-2.443	-0.549	1322.809	-0.244974	-130.06422307811525	-128.04322307811526	126.60277692188473
15	D2Xp	1	112	2.083	-0.521	-0.82	0.201	1341.143	0.0	-116.94685667499678	-114.86385667499678	114.26614332500324
16	D2X	1	112	2.083	0.521	-0.82	0.201	1348.123	0.0	-115.90485667499678	-113.82185667499678	115.30814332500324
17	D2U	2	128	2.021	-0.505	-0.612	-0.622	1366.573	0.244974	-129.58536146974646	-127.56436146974646	127.08163853025353
18	D2Up	2	128	2.021	0.505	-0.612	-0.622	1373.553	0.244974	-128.57536146974647	-126.55436146974647	128.0916385302535
36	H2R	4	19	12.6825	0.0	-67.562	0.82	1404.424	1.5708	-113.104031238886	-100.42153123888599	115.180968761114
35	H2L	4	19	12.6825	0.0	64.438	0.82	1404.424	1.5708	-113.53087535806603	-100.84837535806602	114.75412464193397
37	H2B	1	16	12.6825	0.0	-1.659	-75.281	1422.4	0.0	-96.77744887598672	-84.09494887598673	93.46005112401326
38	H2T	1	16	12.6825	0.0	-1.659	76.82	1422.4	0.0	-96.77805727998673	-84.09555727998674	93.45944272001326
25	D3mVp	2	134	2.0	-0.5	-2.601	-79.393	1889.096	0.244974	-155.22360756801638	-153.22360756801638	110.77639243198362
26	D3mV	2	134	2.0	0.5	-2.601	-79.393	1891.096	0.244974	-154.22360756801638	-152.22360756801638	111.77639243198362
27	D3mXp	1	116	2.0	-0.5	-2.601	-79.393	1893.096	0.0	-118.0438363707597	-116.0438363707597	111.9561636292403
28	D3mX	1	116	2.0	0.5	-2.601	-79.393	1895.096	0.0	-117.0438363707597	-115.0438363707597	112.9561636292403
29	D3mUp	3	134	2.0	-0.5	-2.601	-79.393	1897.096	-0.244974	-116.71216573933646	-114.71216573933646	149.28783426066354
30	D3mU	3	134	2.0	0.5	-2.601	-79.393	1899.096	-0.244974	-115.71216573933646	-113.71216573933646	150.28783426066354
19	D3pVp	2	134	2.0	0.5	-0.998	78.918	1925.936	0.244974	-114.30486317505245	-112.30486317505245	151.69513682494755
20	D3pV	2	134	2.0	-0.5	-0.998	78.918	1927.936	0.244974	-115.30486317505245	-113.30486317505245	150.69513682494755
21	D3pXp	1	116	2.0	0.5	-0.998	78.918	1929.936	0.0	-115.47408780055319	-113.47408780055319	114.52591219944681
22	D3pX	1	116	2.0	-0.5	-0.998	78.918	1931.936	0.0	-116.47408780055319	-114.47408780055319	113.52591219944681
23	D3pUp	3	134	2.0	0.5	-0.998	78.918	1933.936	-0.244974	-152.58514697664322	-150.58514697664322	113.41485302335678
24	D3pU	3	134	2.0	-0.5	-0.998	78.918	1935.936	-0.244974	-153.58514697664322	-151.58514697664322	112.41485302335678
